Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Tor*Toolwear,temp_diff,power [rps]
0,298.9,309.2,1379,50.7,106,0,5374.200000000001,10.300000000000011,1160.59398
1,298.8,309.1,1350,52.5,111,0,5827.5,10.300000000000011,1176.525
1,298.8,309.1,1362,45.4,113,0,5130.2,10.300000000000011,1026.45768
1,298.8,309.1,1368,50.8,115,0,5842.0,10.300000000000011,1153.6070399999999
2,298.8,309.1,1368,49.1,117,0,5744.7,10.300000000000011,1115.00208
0,298.8,309.2,1372,48.5,120,0,5820.0,10.399999999999977,1104.5972
2,298.8,309.1,1472,47.5,125,0,5937.5,10.300000000000011,1160.672
1,298.8,309.1,1489,49.1,128,0,6284.8,10.300000000000011,1213.62434
2,298.7,309.0,1843,25.8,130,0,3354.0,10.300000000000011,789.3200400000001
1,298.8,309.1,1418,46.3,133,0,6157.9,10.300000000000011,1089.8464399999998
0,298.8,309.2,1425,53.9,135,0,7276.5,10.399999999999977,1275.0045
2,298.9,309.2,1412,44.1,140,0,6174.0,10.300000000000011,1033.6687200000001
1,298.9,309.1,2861,4.6,143,1,657.8,10.200000000000045,218.46595999999997
1,298.9,309.1,1383,54.9,145,0,7960.5,10.200000000000045,1260.38322
0,298.8,309.0,1497,43.8,147,0,6438.599999999999,10.199999999999989,1088.4387599999998
1,298.7,309.0,1565,35.1,152,0,5335.2,10.300000000000011,911.8629
1,298.7,309.0,1691,30.1,154,0,4635.400000000001,10.300000000000011,844.9250600000001
1,298.8,309.1,1512,40.7,156,0,6349.200000000001,10.300000000000011,1021.5374400000001
1,298.8,309.1,1477,42.4,158,0,6699.2,10.300000000000011,1039.57168
1,298.8,309.1,1513,40.3,160,0,6448.0,10.300000000000011,1012.1667399999999
2,298.8,309.0,1661,29.5,162,0,4779.0,10.199999999999989,813.3917
1,298.8,309.1,1378,54.4,165,0,8976.0,10.300000000000011,1244.38912
1,298.8,309.1,1393,52.6,167,0,8784.2,10.300000000000011,1216.31188
2,298.8,309.0,1592,38.2,169,0,6455.8,10.199999999999989,1009.51904
1,298.8,309.0,1829,22.9,172,0,3938.7999999999997,10.199999999999989,695.27606
2,298.9,309.0,1812,25.9,174,0,4506.599999999999,10.100000000000023,779.0512799999999
1,299.0,309.1,1523,38.6,177,0,6832.2,10.100000000000023,975.8774800000001
1,299.0,309.1,1394,45.1,179,0,8072.900000000001,10.100000000000023,1043.63204
2,298.9,308.9,1679,28.7,181,0,5194.7,10.0,799.90918
0,298.8,308.9,1466,44.1,184,0,8114.400000000001,10.099999999999966,1073.19996
1,298.8,308.9,1527,32.4,189,0,6123.599999999999,10.099999999999966,821.2816799999999
1,298.9,309.0,1410,65.7,191,1,12548.7,10.100000000000023,1537.7742
2,298.9,309.0,1924,22.6,193,0,4361.8,10.100000000000023,721.80784
1,298.9,309.1,1452,45.5,196,0,8918.0,10.200000000000045,1096.6956
1,298.9,309.1,1369,44.4,198,0,8791.199999999999,10.200000000000045,1009.00776
1,299.0,309.1,1592,35.0,200,0,7000.0,10.100000000000023,924.952
1,298.9,309.0,1601,32.3,202,0,6524.599999999999,10.100000000000023,858.42418
1,298.8,308.9,1379,46.7,204,0,9526.800000000001,10.099999999999966,1069.02838
1,298.8,308.9,1461,47.9,206,0,9867.4,10.099999999999966,1161.6995399999998
1,298.8,308.9,1455,41.3,208,1,8590.4,10.099999999999966,997.5188999999999
1,298.8,308.9,1398,51.5,0,0,0.0,10.099999999999966,1195.1502
1,298.8,308.9,1402,37.9,2,0,75.8,10.099999999999966,882.05428
0,298.8,308.8,1445,49.9,4,0,199.6,10.0,1196.9513
1,298.9,308.9,1450,47.5,9,0,427.5,10.0,1143.325
1,298.9,308.9,1453,40.8,11,0,448.79999999999995,10.0,984.0878399999999
1,299.0,309.0,1469,40.1,13,0,521.3000000000001,10.0,977.85454
1,298.9,308.9,1422,47.6,15,0,714.0,10.0,1123.60752
2,299.0,309.0,1804,26.8,17,0,455.6,10.0,802.56352
0,299.0,309.0,1436,43.9,20,0,878.0,10.0,1046.47064
1,299.0,309.0,1544,31.8,25,0,795.0,10.0,815.04672
2,299.0,309.0,1419,45.2,27,0,1220.4,10.0,1064.70408
2,298.9,308.9,1487,39.5,30,0,1185.0,10.0,975.0259
1,298.9,308.9,1753,25.8,33,0,851.4,10.0,750.77484
1,298.9,308.9,1830,24.9,35,0,871.5,10.0,756.4122
2,298.9,308.9,1727,27.1,37,0,1002.7,10.0,776.90822
1,299.1,309.0,1450,43.0,40,0,1720.0,9.899999999999977,1035.01
1,299.0,308.9,1622,31.9,42,0,1339.8,9.899999999999977,858.91388
2,299.0,309.0,1351,52.2,44,0,2296.8,10.0,1170.66852
2,299.0,309.0,1575,35.3,47,0,1659.1,10.0,922.9184999999999
2,298.9,308.9,1750,29.9,50,0,1495.0,10.0,868.595
1,298.9,308.8,1529,32.7,53,0,1733.1000000000001,9.900000000000034,829.9717800000001
1,298.8,308.8,1523,44.4,55,0,2442.0,10.0,1122.51192
1,298.8,308.9,1852,25.0,57,0,1425.0,10.099999999999966,768.58
1,298.8,308.8,1991,20.7,59,0,1221.3,10.0,684.14742
1,298.8,308.8,1555,40.6,61,0,2476.6,10.0,1048.0078
2,298.8,308.8,1441,40.5,63,0,2551.5,10.0,968.7843
1,298.8,308.7,1450,43.4,66,0,2864.4,9.899999999999977,1044.638
1,298.8,308.7,1591,31.1,68,0,2114.8,9.899999999999977,821.3696600000001
1,298.8,308.7,1445,48.5,70,0,3395.0,9.899999999999977,1163.3695
2,298.8,308.8,1497,46.8,72,0,3369.6,10.0,1162.9893599999998
0,298.9,308.8,1621,32.7,75,0,2452.5,9.900000000000034,879.9112200000001
1,298.9,308.7,1572,34.1,80,0,2728.0,9.800000000000011,889.8463200000001
1,298.8,308.6,1872,22.5,82,0,1845.0,9.800000000000011,699.192
0,298.7,308.6,1499,43.5,84,0,3654.0,9.900000000000034,1082.4279
2,298.8,308.7,1498,39.5,89,0,3515.5,9.899999999999977,982.2386
2,298.8,308.6,1486,41.9,92,0,3854.7999999999997,9.800000000000011,1033.5724400000001
1,298.8,308.6,1680,29.4,95,0,2793.0,9.800000000000011,819.9072
1,298.8,308.6,1431,45.7,97,0,4432.900000000001,9.800000000000011,1085.5852200000002
1,298.9,308.7,1564,34.1,99,0,3375.9,9.800000000000011,885.31784
1,298.8,308.6,1599,33.0,101,0,3333.0,9.800000000000011,875.9322
2,298.8,308.6,1707,28.1,103,0,2894.3,9.800000000000011,796.2472200000001
1,298.7,308.5,1467,40.7,106,0,4314.200000000001,9.800000000000011,991.13454
1,298.9,308.7,1433,44.7,108,0,4827.6,9.800000000000011,1063.31466
1,298.9,308.7,1558,41.2,110,0,4532.0,9.800000000000011,1065.54736
1,299.0,308.8,1310,50.7,112,0,5678.400000000001,9.800000000000011,1102.5222
1,298.9,308.7,1546,43.4,114,0,4947.599999999999,9.800000000000011,1113.8002399999998
1,298.9,308.7,1727,29.4,116,0,3410.3999999999996,9.800000000000011,842.8450799999999
1,298.9,308.6,1560,32.2,118,0,3799.6000000000004,9.700000000000045,833.8512000000002
1,299.0,308.6,1329,60.5,120,0,7260.0,9.600000000000023,1334.7147
1,298.9,308.6,1413,46.5,122,0,5673.0,9.700000000000045,1090.6947
1,299.0,308.6,1587,38.6,124,0,4786.400000000001,9.600000000000023,1016.8861200000001
1,298.9,308.5,1559,34.3,126,0,4321.799999999999,9.600000000000023,887.66342
1,298.8,308.4,1473,41.1,128,0,5260.8,9.599999999999966,1004.9689800000001
1,298.8,308.4,1737,27.7,130,0,3601.0,9.599999999999966,798.70734
2,298.7,308.4,1441,43.2,132,0,5702.400000000001,9.699999999999989,1033.36992
2,298.7,308.4,1430,49.6,135,0,6696.0,9.699999999999989,1177.4048
1,298.8,308.4,1369,53.0,138,0,7314.0,9.599999999999966,1204.4462
2,298.8,308.5,1711,28.5,140,0,3990.0,9.699999999999989,809.4741
0,298.7,308.5,1420,45.7,143,0,6535.1,9.800000000000011,1077.2404000000001
1,298.7,308.6,1297,55.3,148,0,8184.4,9.900000000000034,1190.62006
0,298.8,308.6,1449,49.4,150,0,7410.0,9.800000000000011,1188.23796
1,298.8,308.6,1268,55.8,155,0,8649.0,9.800000000000011,1174.5230399999998
1,298.8,308.6,1511,36.1,157,0,5667.7,9.800000000000011,905.48186
1,298.7,308.5,1544,35.2,159,0,5596.8,9.800000000000011,902.1900800000001
2,298.6,308.4,1778,28.2,161,0,4540.2,9.799999999999955,832.31736
0,298.6,308.4,1407,50.5,164,0,8282.0,9.799999999999955,1179.4881
2,298.6,308.4,1391,42.4,169,0,7165.599999999999,9.799999999999955,979.0414400000001
1,298.5,308.4,1513,33.6,172,0,5779.2,9.899999999999977,843.89088
0,298.5,308.4,1612,36.1,174,0,6281.400000000001,9.899999999999977,966.0071200000001
1,298.4,308.4,1515,40.1,179,0,7177.900000000001,10.0,1008.4749
2,298.3,308.3,1379,48.0,181,0,8688.0,10.0,1098.7872
1,298.4,308.3,1473,39.9,184,0,7341.599999999999,9.900000000000034,975.62682
1,298.4,308.3,1422,42.7,186,0,7942.200000000001,9.900000000000034,1007.94204
2,298.4,308.2,1463,37.6,188,0,7068.8,9.800000000000011,913.1460800000001
2,298.4,308.2,1584,41.0,191,0,7831.0,9.800000000000011,1078.0704
1,298.4,308.2,1850,27.0,194,0,5238.0,9.800000000000011,829.17
1,298.4,308.2,1528,36.2,196,0,7095.200000000001,9.800000000000011,918.20576
0,298.4,308.2,1987,19.8,198,0,3920.4,9.800000000000011,653.0871599999999
2,298.4,308.1,1495,46.0,203,0,9338.0,9.700000000000045,1141.582
0,298.4,308.2,1478,43.5,206,0,8961.0,9.800000000000011,1067.2638
2,298.4,308.2,1499,40.0,211,0,8440.0,9.800000000000011,995.336
1,298.4,308.2,1471,47.0,214,0,10058.0,9.800000000000011,1147.6742
1,298.4,308.2,1282,60.7,216,1,13111.2,9.800000000000011,1291.7688400000002
1,298.3,308.1,1412,52.3,218,1,11401.4,9.800000000000011,1225.87016
1,298.3,308.1,1586,35.5,0,0,0.0,9.800000000000011,934.6298
2,298.4,308.2,1468,43.8,2,0,87.6,9.800000000000011,1067.3534399999999
2,298.5,308.3,1440,43.6,5,0,218.0,9.800000000000011,1042.2144
1,298.5,308.4,1733,26.0,8,0,208.0,9.899999999999977,747.9628
0,298.4,308.2,1612,32.6,10,0,326.0,9.800000000000011,872.3499200000001
0,298.4,308.3,1458,42.9,15,0,643.5,9.900000000000034,1038.3001199999999
1,298.4,308.3,1433,62.3,20,1,1246.0,9.900000000000034,1481.97994
1,298.4,308.3,1318,59.1,22,0,1300.2,9.900000000000034,1293.03708
2,298.4,308.2,1610,35.0,24,0,840.0,9.800000000000011,935.41
1,298.2,308.1,1462,50.8,27,0,1371.6,9.900000000000034,1232.8753599999998
2,298.1,308.0,1924,20.8,29,0,603.2,9.899999999999977,664.3187200000001
2,298.2,308.0,1591,33.7,32,0,1078.4,9.800000000000011,890.03722
1,298.2,308.1,1306,58.3,35,0,2040.5,9.900000000000034,1263.9206800000002
1,298.2,308.1,1382,43.5,37,0,1609.5,9.900000000000034,997.9422
1,298.2,308.1,1618,34.7,39,0,1353.3000000000002,9.900000000000034,932.0003600000001
1,298.2,308.2,1988,21.4,41,0,877.4,10.0,706.2171199999999
1,298.2,308.2,1436,50.2,43,0,2158.6,10.0,1196.64752
1,298.2,308.3,1304,49.8,45,0,2241.0,10.100000000000023,1077.99072
1,298.2,308.3,1475,49.9,47,0,2345.2999999999997,10.100000000000023,1221.8015
0,298.2,308.3,1824,24.2,49,0,1185.8,10.100000000000023,732.7372799999999
2,298.1,308.2,1342,48.1,54,0,2597.4,10.099999999999966,1071.53332
1,298.1,308.2,1485,40.7,57,0,2319.9,10.099999999999966,1003.2957000000001
1,298.2,308.2,1667,30.6,59,0,1805.4,10.0,846.7693200000001
1,298.2,308.2,1446,38.2,61,0,2330.2000000000003,10.0,916.9375200000001
1,298.1,308.3,1301,56.0,63,0,3528.0,10.199999999999989,1209.4096
1,298.2,308.4,1379,43.1,65,0,2801.5,10.199999999999989,986.6193400000001
1,298.3,308.5,1606,33.6,67,0,2251.2000000000003,10.199999999999989,895.7625600000001
2,298.3,308.4,1539,43.4,69,0,2994.6,10.099999999999966,1108.7571599999999
1,298.2,308.4,1477,49.9,72,0,3592.7999999999997,10.199999999999989,1223.45818
1,298.2,308.4,1666,34.6,74,0,2560.4,10.199999999999989,956.88376
0,298.2,308.4,1398,51.8,76,0,3936.7999999999997,10.199999999999989,1202.11224
0,298.2,308.4,1678,34.6,81,0,2802.6,10.199999999999989,963.7760800000001
2,298.2,308.5,2678,10.7,86,1,920.1999999999999,10.300000000000011,475.66636
1,298.3,308.5,1453,42.9,89,0,3818.1,10.199999999999989,1034.7394199999999
0,298.3,308.6,1432,49.5,91,0,4504.5,10.300000000000011,1176.6744
2,298.4,308.6,1527,40.9,96,0,3926.3999999999996,10.200000000000045,1036.74138
1,298.4,308.7,1588,35.0,99,0,3465.0,10.300000000000011,922.628
1,298.4,308.6,1433,47.1,101,0,4757.1,10.200000000000045,1120.4053800000002
1,298.4,308.6,1609,35.0,103,0,3605.0,10.200000000000045,934.8290000000001
1,298.3,308.5,1575,41.2,105,0,4326.0,10.199999999999989,1077.1740000000002
2,298.4,308.5,1636,35.7,107,0,3819.9,10.100000000000023,969.52632
1,298.4,308.5,1490,37.9,110,0,4169.0,10.100000000000023,937.4186
1,298.4,308.5,1741,32.8,112,0,3673.5999999999995,10.100000000000023,947.93968
2,298.5,308.6,1344,53.0,114,0,6042.0,10.100000000000023,1182.4512
1,298.5,308.7,1609,35.3,117,0,4130.099999999999,10.199999999999989,942.84182
2,298.4,308.7,1421,60.7,119,1,7223.3,10.300000000000011,1431.82802
1,298.4,308.6,1591,36.7,122,0,4477.400000000001,10.200000000000045,969.2690200000001
1,298.4,308.6,1477,44.0,124,0,5456.0,10.200000000000045,1078.8008
1,298.4,308.7,1523,36.1,126,0,4548.6,10.300000000000011,912.67298
1,298.5,308.7,1575,33.9,128,0,4339.2,10.199999999999989,886.3155
0,298.4,308.7,1344,52.9,130,0,6877.0,10.300000000000011,1180.2201599999999
1,298.4,308.7,1386,44.9,135,0,6061.5,10.300000000000011,1033.04124
2,298.3,308.6,1589,37.1,137,0,5082.7,10.300000000000011,978.60154
1,298.3,308.6,1548,40.3,140,0,5642.0,10.300000000000011,1035.5810399999998
1,298.3,308.6,1499,38.3,142,0,5438.599999999999,10.300000000000011,953.03422
1,298.3,308.5,1664,31.6,144,0,4550.400000000001,10.199999999999989,872.86784
1,298.3,308.6,1447,38.1,146,0,5562.6,10.300000000000011,915.1696200000001
2,298.3,308.5,1434,46.2,148,0,6837.6,10.199999999999989,1099.7632800000001
1,298.3,308.5,1416,52.7,151,0,7957.700000000001,10.199999999999989,1238.74512
0,298.4,308.5,1827,24.3,153,0,3717.9,10.100000000000023,736.9752599999999
1,298.4,308.6,1304,45.0,158,0,7110.0,10.200000000000045,974.088
1,298.4,308.6,1569,34.4,160,0,5504.0,10.200000000000045,895.96176
1,298.3,308.6,1584,29.3,162,0,4746.6,10.300000000000011,770.4259200000001
1,298.3,308.5,1362,53.8,164,0,8823.199999999999,10.199999999999989,1216.3749599999999
1,298.3,308.4,1329,49.2,166,0,8167.200000000001,10.099999999999966,1085.4208800000001
1,298.3,308.5,1539,36.1,168,0,6064.8,10.199999999999989,922.2611400000001
2,298.3,308.5,1629,37.1,170,0,6307.0,10.199999999999989,1003.23594
1,298.3,308.5,1538,32.2,173,0,5570.6,10.199999999999989,822.0917600000001
1,298.3,308.6,1570,34.8,175,0,6089.999999999999,10.300000000000011,906.9575999999998
1,298.3,308.4,1408,43.1,177,0,7628.7,10.099999999999966,1007.3676800000001
1,298.2,308.4,1424,47.6,179,0,8520.4,10.199999999999989,1125.18784
1,298.2,308.4,1512,34.9,181,0,6316.9,10.199999999999989,875.9620799999999
1,298.2,308.4,1478,42.9,183,0,7850.7,10.199999999999989,1052.5429199999999
2,298.1,308.3,1680,33.7,185,0,6234.500000000001,10.199999999999989,939.8256000000001
1,298.1,308.3,1495,38.7,188,0,7275.6,10.199999999999989,960.4179000000001
2,298.0,308.1,1552,36.6,190,0,6954.0,10.100000000000023,942.93312
1,297.9,308.1,1393,50.3,193,0,9707.9,10.200000000000045,1163.1271399999998
1,298.0,308.2,1611,30.6,195,0,5967.0,10.199999999999989,818.3235600000002
2,298.0,308.1,1339,51.6,197,0,10165.2,10.100000000000023,1146.9338400000001
1,298.0,308.1,1777,24.3,200,0,4860.0,10.100000000000023,716.80626
1,298.0,308.2,1348,58.8,202,1,11877.599999999999,10.199999999999989,1315.7558399999998
1,298.0,308.2,1442,44.1,204,0,8996.4,10.199999999999989,1055.6305200000002
2,298.0,308.2,1395,49.1,206,0,10114.6,10.199999999999989,1137.0087
2,297.9,308.1,1627,31.4,209,0,6562.599999999999,10.200000000000045,848.0574799999999
1,297.9,308.1,1585,33.5,212,0,7102.0,10.200000000000045,881.4185
1,298.0,308.2,1469,45.5,214,0,9737.0,10.199999999999989,1109.5357
1,298.0,308.3,1362,56.8,216,1,12268.8,10.300000000000011,1284.20256
1,298.0,308.3,1405,56.2,218,1,12251.6,10.300000000000011,1310.7526
1,298.0,308.3,1662,32.7,0,0,0.0,10.300000000000011,902.16684
2,298.0,308.2,1466,42.6,2,0,85.2,10.199999999999989,1036.69656
1,298.0,308.2,1620,35.8,5,0,179.0,10.199999999999989,962.7335999999999
1,298.0,308.2,1357,48.2,7,0,337.40000000000003,10.199999999999989,1085.76284
1,298.0,308.2,1514,37.9,9,0,341.09999999999997,10.199999999999989,952.51796
1,298.0,308.2,1489,40.4,11,0,444.4,10.199999999999989,998.58296
1,298.1,308.3,1331,63.0,13,0,819.0,10.199999999999989,1391.9598
1,298.0,308.0,1615,29.5,15,0,442.5,10.0,790.8655
1,298.1,308.2,1482,37.9,17,0,644.3,10.099999999999966,932.3854799999999
2,298.1,308.2,1420,63.9,19,1,1214.1,10.099999999999966,1506.2508
2,298.2,308.3,1522,49.1,22,0,1080.2,10.100000000000023,1240.52132
1,298.1,308.2,1654,32.1,25,0,802.5,10.099999999999966,881.35044
2,298.1,308.2,1736,26.8,27,0,723.6,10.099999999999966,772.31168
2,298.0,308.1,1587,32.3,30,0,968.9999999999999,10.100000000000023,850.91766
1,298.1,308.2,1390,47.5,33,0,1567.5,10.099999999999966,1096.015
1,298.0,308.1,1454,37.1,35,0,1298.5,10.100000000000023,895.4604400000001
0,298.0,308.1,1440,43.7,37,0,1616.9,10.100000000000023,1044.6048
1,297.9,308.0,1954,21.1,42,0,886.2,10.100000000000023,684.40804
0,297.9,308.0,1800,24.8,44,0,1091.2,10.100000000000023,741.024
1,298.0,308.0,1524,37.0,49,0,1813.0,10.0,936.0408
0,298.0,308.0,1520,39.6,51,0,2019.6000000000001,10.0,999.1872
2,298.1,308.1,1452,40.8,56,0,2284.7999999999997,10.0,983.41056
1,298.1,308.1,1484,40.4,59,0,2383.6,10.0,995.2297599999999
1,298.1,308.0,1426,46.0,61,0,2806.0,9.899999999999977,1088.8936
1,298.1,308.0,1652,28.5,63,0,1795.5,9.899999999999977,781.5612
1,298.0,308.0,1401,54.7,65,0,3555.5,10.0,1272.13602
2,298.0,307.9,1750,26.6,67,0,1782.2,9.899999999999977,772.73
0,298.0,308.0,1479,50.7,70,0,3549.0,10.0,1244.7559800000001
2,298.0,308.0,1620,29.4,75,0,2205.0,10.0,790.6248
1,298.0,308.1,1819,23.4,78,0,1825.1999999999998,10.100000000000023,706.57236
2,298.1,308.1,1456,43.7,80,0,3496.0,10.0,1056.21152
1,298.1,308.0,1626,36.5,83,0,3029.5,9.899999999999977,985.1934
2,298.1,308.1,1390,49.8,85,0,4233.0,10.0,1149.0852
1,298.2,308.2,1469,43.0,88,0,3784.0,10.0,1048.5722
1,298.2,308.3,2051,19.2,90,0,1728.0,10.100000000000023,653.69472
1,298.2,308.3,1568,36.0,92,0,3312.0,10.100000000000023,937.0368
1,298.2,308.3,1589,33.2,94,0,3120.8,10.100000000000023,875.72968
1,298.2,308.3,1805,31.6,96,0,3033.6000000000004,10.100000000000023,946.8308
0,298.2,308.4,1385,42.2,98,0,4135.6,10.199999999999989,970.2202000000001
1,298.1,308.4,1436,46.7,103,0,4810.1,10.299999999999955,1113.2159199999999
1,298.1,308.4,1438,45.6,105,0,4788.0,10.299999999999955,1088.50848
1,298.0,308.3,1473,42.6,107,0,4558.2,10.300000000000011,1041.64668
1,298.1,308.4,1335,40.2,109,0,4381.8,10.299999999999955,890.8722000000001
0,298.1,308.5,1392,44.8,111,0,4972.799999999999,10.399999999999977,1035.20256
2,298.1,308.5,1372,51.1,116,0,5927.6,10.399999999999977,1163.81272
2,298.1,308.6,1716,30.7,119,0,3653.2999999999997,10.5,874.50792
1,298.0,308.5,1395,46.2,122,0,5636.400000000001,10.5,1069.8534000000002
1,298.0,308.5,1713,25.3,124,0,3137.2000000000003,10.5,719.42574
0,297.9,308.5,2129,18.7,126,0,2356.2,10.600000000000023,660.8841799999999
2,297.8,308.3,1567,35.6,131,0,4663.6,10.5,926.0343200000001
1,297.8,308.4,1622,38.3,134,0,5132.2,10.599999999999966,1031.23516
1,297.7,308.4,1740,27.1,136,0,3685.6000000000004,10.699999999999989,782.7564
0,297.8,308.4,1512,35.1,138,0,4843.8,10.599999999999966,880.9819200000001
2,297.8,308.4,1479,43.5,143,0,6220.5,10.599999999999966,1067.9859
1,297.8,308.4,1737,27.5,146,0,4015.0,10.599999999999966,792.9405
1,297.8,308.4,2129,19.2,148,0,2841.6,10.599999999999966,678.5548799999999
1,297.8,308.4,1374,47.1,150,0,7065.0,10.599999999999966,1074.27564
2,297.8,308.4,1579,36.6,152,0,5563.2,10.599999999999966,959.3372400000001
1,297.9,308.5,1305,47.2,155,0,7316.0,10.600000000000023,1022.4936000000001
2,297.9,308.5,1449,40.8,157,0,6405.599999999999,10.600000000000023,981.3787199999999
0,298.0,308.6,1526,41.8,160,0,6688.0,10.600000000000023,1058.86088
2,298.0,308.6,1453,44.1,165,0,7276.5,10.600000000000023,1063.68318
1,297.9,308.6,1468,36.0,168,0,6048.0,10.700000000000045,877.2768
1,298.0,308.6,1313,50.8,170,0,8636.0,10.600000000000023,1107.2266399999999
2,297.9,308.5,1300,53.0,172,0,9116.0,10.600000000000023,1143.74
1,297.9,308.4,1646,40.6,175,0,7105.0,10.5,1109.33816
1,297.8,308.4,1714,33.2,177,0,5876.400000000001,10.599999999999966,944.61968
1,297.8,308.4,1685,28.4,179,0,5083.599999999999,10.599999999999966,794.3764
1,297.8,308.4,1512,39.9,181,0,7221.9,10.599999999999966,1001.4580799999999
1,297.8,308.4,1612,32.1,183,0,5874.3,10.599999999999966,858.9703200000001
0,297.8,308.4,1550,38.2,185,0,7067.000000000001,10.599999999999966,982.8860000000001
1,297.8,308.4,1518,32.5,190,0,6175.0,10.599999999999966,818.961
1,297.8,308.5,1448,40.0,192,0,7680.0,10.699999999999989,961.472
1,297.8,308.5,1561,46.3,194,0,8982.199999999999,10.699999999999989,1199.7533799999999
2,297.8,308.5,1488,41.9,196,0,8212.4,10.699999999999989,1034.96352
1,297.8,308.5,1699,27.8,199,0,5532.2,10.699999999999989,784.05452
1,297.7,308.5,1501,41.4,201,0,8321.4,10.800000000000011,1031.54724
1,297.7,308.5,1373,56.7,203,1,11510.1,10.800000000000011,1292.2950600000001
0,297.6,308.4,1703,31.4,205,0,6437.0,10.799999999999955,887.6717199999999
0,297.7,308.5,1720,29.9,210,0,6279.0,10.800000000000011,853.7048
2,297.6,308.4,1398,41.9,215,0,9008.5,10.799999999999955,972.36492
2,297.6,308.4,1391,51.9,218,0,11314.199999999999,10.799999999999955,1198.40214
2,297.6,308.3,1538,40.2,0,0,0.0,10.699999999999989,1026.33816
1,297.5,308.2,1647,31.3,3,0,93.9,10.699999999999989,855.74826
2,297.5,308.1,1469,44.8,5,0,224.0,10.600000000000023,1092.4659199999999
1,297.4,308.1,1749,25.9,8,0,207.2,10.700000000000045,751.96506
2,297.6,308.2,1995,20.5,10,0,205.0,10.599999999999966,678.8985
1,297.6,308.3,1742,27.7,13,0,360.09999999999997,10.699999999999989,801.00644
1,297.5,308.2,1563,38.2,15,0,573.0,10.699999999999989,991.1295600000001
2,297.5,308.2,1713,32.2,17,0,547.4000000000001,10.699999999999989,915.6327600000001
1,297.4,308.1,1474,39.4,20,0,788.0,10.700000000000045,964.0549599999999
2,297.4,308.2,1530,32.6,22,0,717.2,10.800000000000011,827.9748
